id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
148,被解救的姜戈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg,美国,2012, 昆汀·塔伦蒂诺 Quentin Tarantino, 杰米·福克斯 Jamie Foxx,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,剧情/动作/西部/冒险,
149,七武士,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg,日本,1954, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune,9.3,时代悲歌。,动作/冒险/剧情,
150,喜宴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,中国台湾 美国,1993, 李安 Ang Lee, 赵文瑄 Winston Chao,8.9,中国家庭的喜怒哀乐忍。,剧情/喜剧/爱情/同性/家庭,
151,电锯惊魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg,美国,2004, 詹姆斯·温 James Wan, 雷·沃纳尔 Leigh Whannell,8.7,真相就在眼前。,悬疑/惊悚/恐怖,
152,头号玩家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,美国,2018, 史蒂文·斯皮尔伯格 Steven Spielberg, 泰伊·谢里丹 Tye Sheri...,8.7,写给影迷，动漫迷和游戏迷的一封情书。,动作/科幻/冒险,
153,我是山姆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,美国,2001, 杰茜·尼尔森 Jessie Nelson, Sean Penn,8.9,爱并不需要智商 。,剧情/家庭,
154,风之谷,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,日本,1984, 宫崎骏 Hayao Miyazaki, 岛本须美 Sumi Shimamoto,8.9,动画片的圣经。,动画/奇幻/冒险,
155,未麻的部屋,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,日本,1997, 今敏 Satoshi Kon, 岩男润子 Junko Iwao,9.0,好的剧本是，就算你猜到了结局也猜不到全部。,动画/奇幻/惊悚,
156,英雄本色,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,中国香港,1986, 吴宇森 John Woo, 周润发 Yun-Fat Chow,8.7,英雄泪短，兄弟情长。 ,剧情/动作/犯罪,
157,上帝之城,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,巴西 法国,2002, 费尔南多·梅里尔斯 Fernando Meirelles, 费尔南多·梅里尔斯 Fernando Meirelles,9.0,被上帝抛弃了的上帝之城。,犯罪/剧情,
158,疯狂原始人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,美国,2013, 科克·德·米科 Kirk De Micco, 科克·德·米科 Kirk De Micco,8.7,老少皆宜，这就是好莱坞动画的魅力。,喜剧/动画/冒险,
159,谍影重重3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,美国 德国,2007, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon,8.8,像吃了苏打饼一样干脆的电影。,动作/悬疑/惊悚,
160,卢旺达饭店,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,英国 南非 意大利,2004, 特瑞·乔治 Terry George, 唐·钱德尔 Don Cheadle,8.9,当这个世界闭上双眼，他却敞开了怀抱。,剧情/传记/历史/战争,
161,三块广告牌,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg,美国 英国,2017, 马丁·麦克唐纳 Martin McDonagh, 弗兰西斯·麦克多蒙德 France...,8.7,怼天怼地，你走后，她与世界为敌。,剧情/犯罪,
162,纵横四海,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg,中国香港,1991, 吴宇森 John Woo, 周润发 Yun-Fat Chow,8.8,香港浪漫主义警匪动作片的巅峰之作。,剧情/喜剧/动作/犯罪,
163,花样年华,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,中国香港,2000, 王家卫 Kar Wai Wong, 梁朝伟 Tony Leung Chiu Wai,8.7,偷情本没有这样美。,剧情/爱情,
164,新世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,韩国,2013, 朴勋政 Hoon-jung Park, 李政宰 Jung-Jae Lee,8.9,要做就做得狠一点，这样才能活下去。,剧情/犯罪,
165,模仿游戏,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,英国 美国,2014, 莫滕·泰杜姆 Morten Tyldum, 本尼迪克特·康伯巴奇 Benedict C...,8.7,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,剧情/传记/战争/同性,
166,达拉斯买家俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,美国,2013, 让-马克·瓦雷 Jean-Marc Vallée, 马修·麦康纳 Matthew McCon...,8.8,Jared Leto的腿比女人还美！,剧情/传记/同性,
167,岁月神偷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,中国香港 中国大陆,2010, 罗启锐 Alex Law, 吴君如 Sandra Ng,8.7,岁月流逝，来日可追。,剧情/家庭,
168,黑客帝国3：矩阵革命,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,美国 澳大利亚,2003, Andy Wachowski, Andy Wachowski,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,动作/科幻,
169,心迷宫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,中国大陆,2014, 忻钰坤 Yukun Xin, 霍卫民 Weimin Huo,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,剧情/犯罪/悬疑,
170,头脑特工队,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,美国,2015, 彼特·道格特 Pete Docter, 彼特·道格特 Pete Docter,8.7,愿我们都不用长大，每一座城堡都能永远存在。,喜剧/动画/冒险,
171,记忆碎片,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,美国,2000, 克里斯托弗·诺兰 Christopher Nolan, 盖·皮尔斯 Guy Pearce,8.7,一个针管引发的血案。,犯罪/剧情/悬疑/惊悚,
172,你的名字。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,日本,2016, 新海诚 Makoto Shinkai, 神木隆之介 Ryûnosuke Kamiki,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,剧情/爱情/动画,
173,忠犬八公物语,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg,日本,1987, Seijirô Kôyama, 山本圭 Kei Yamamoto,9.2,养狗三日，便会对你终其一生。,剧情,
174,荒蛮故事,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg,阿根廷 西班牙,2014, 达米安·斯兹弗隆 Damián Szifron, 达里奥·葛兰帝内提 Darío...,8.8,始于荒诞，止于更荒诞。,剧情/喜剧/犯罪,
175,真爱至上,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,英国 美国 法国,2003, 理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant,8.6,爱，是个动词。,喜剧/剧情/爱情,
176,海街日记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,日本,2015, 是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase,8.8,是枝裕和的家庭习作。,剧情/家庭,
177,爆裂鼓手,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg,美国,2014, 达米恩·查泽雷 Damien Chazelle, 迈尔斯·特勒 Miles Teller,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,剧情/音乐,
178,贫民窟的百万富翁,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,英国,2008, 丹尼·鲍尔 Danny Boyle, 丹尼·鲍尔 Danny Boyle,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,剧情/爱情,
179,东邪西毒,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,中国香港 中国台湾,1994, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung,8.6,电影诗。,剧情/动作/爱情/武侠/古装,
180,萤火虫之墓,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,日本,1988, 高畑勋 Isao Takahata, 辰己努,8.7,幸福是生生不息，却难以触及的远。 ,动画/剧情/战争,
181,寄生虫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,韩国,2019, 奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song,8.8,,剧情/喜剧,
182,惊魂记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,美国,1960, 阿尔弗雷德·希区柯克 Alfred Hitchcock, 安东尼·博金斯 Antho...,9.0,故事的反转与反转，分裂电影的始祖。,悬疑/惊悚/恐怖,
183,黑天鹅,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,美国,2010, 达伦·阿罗诺夫斯基 Darren Aronofsky, 娜塔莉·波特曼 Natalie...,8.6,黑暗之美。,剧情/惊悚,
184,哈利·波特与火焰杯,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg,英国 美国,2005, 迈克·内威尔 Mike Newell, 丹尼尔·雷德克里夫 Daniel Radclif...,8.6,,悬疑/奇幻/冒险,
185,无敌破坏王,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,美国,2012, 瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly,8.7,迪士尼和皮克斯拿错剧本的产物。,喜剧/动画/奇幻/冒险,
186,你看起来好像很好吃,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,日本,2010, 藤森雅也 Masaya Fujimori, 山口胜平 Kappei Yamaguchi,8.9,感情不分食草或者食肉。,剧情/动画/儿童,
187,小偷家族,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,日本,2018, 是枝裕和 Hirokazu Koreeda, 中川雅也 Lily Franky,8.7,我们组成了家。,剧情/犯罪/家庭,
188,绿里奇迹,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,美国,1999, Frank Darabont, 汤姆·汉克斯 Tom Hanks,8.9,天使暂时离开。,犯罪/剧情/奇幻/悬疑,
